,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FIPS
0,ALABAMA,Baldwin,2018,270,232,38,0,0,0,0,97,54,37,0,0,194,76,0,
1,ALABAMA,Clay,2018,110,86,24,0,0,0,0,68,54,36,0,0,0,110,0,
2,ALABAMA,Colbert,2018,277,235,42,0,0,0,0,93,54,37,0,0,184,93,0,
3,ALABAMA,Dekalb,2018,350,302,48,0,0,0,0,84,54,36,0,0,286,64,0,
4,ALABAMA,Elmore,2018,222,203,19,0,0,0,0,71,49,33,0,0,222,0,0,
5,ALABAMA,Etowah,2018,324,169,154,0,1,0,0,154,65,48,0,0,120,204,0,
6,ALABAMA,Houston,2018,277,230,47,0,0,0,0,80,54,37,0,0,191,86,0,
7,ALABAMA,Jefferson,2018,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,
8,ALABAMA,Lawrence,2018,118,99,19,0,0,0,0,66,54,31,0,0,0,118,0,
9,ALABAMA,Madison,2018,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1,
10,ALABAMA,Mobile,2018,359,218,140,1,0,0,0,105,61,44,0,0,103,256,0,
11,ALABAMA,Montgomery,2018,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,
12,ALABAMA,Morgan,2018,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0,
13,ALABAMA,Russell,2018,364,199,165,0,0,0,0,99,64,48,0,0,66,298,0,
14,ALABAMA,Shelby,2018,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0,
15,ALABAMA,Sumter,2018,357,327,30,0,0,0,0,77,48,31,0,0,202,155,0,
16,ALABAMA,Tuscaloosa,2018,320,223,96,1,0,0,0,115,60,42,0,0,165,155,0,
17,ALASKA,Aleutians East,2018,120,120,0,0,0,0,0,46,28,13,0,0,0,120,0,
18,ALASKA,Anchorage,2018,365,288,77,0,0,0,0,87,60,30,0,0,0,288,77,
19,ALASKA,Bethel,2018,202,194,8,0,0,0,0,77,37,19,0,0,0,157,45,
20,ALASKA,Denali,2018,364,361,3,0,0,0,0,58,44,35,0,0,363,1,0,
21,ALASKA,Fairbanks North Star,2018,365,215,111,29,10,0,0,158,103,40,0,9,90,264,2,
22,ALASKA,Juneau,2018,352,268,84,0,0,0,0,85,59,31,0,0,0,349,3,
23,ALASKA,Kenai Peninsula,2018,120,120,0,0,0,0,0,36,21,10,0,0,0,120,0,
24,ALASKA,Matanuska-Susitna,2018,365,308,53,3,1,0,0,151,58,29,0,0,182,165,18,
25,ARIZONA,Apache,2018,358,354,4,0,0,0,0,58,27,13,0,0,0,58,300,
26,ARIZONA,Cochise,2018,365,266,99,0,0,0,0,90,63,45,0,0,293,50,22,
27,ARIZONA,Coconino,2018,365,236,126,3,0,0,0,126,77,45,0,0,351,14,0,
28,ARIZONA,Gila,2018,365,220,122,22,1,0,0,171,87,47,0,0,328,2,35,
29,ARIZONA,La Paz,2018,364,257,104,3,0,0,0,105,71,44,0,0,335,24,5,
30,ARIZONA,Maricopa,2018,365,49,252,57,4,3,0,274,115,71,0,6,178,85,96,
31,ARIZONA,Mohave,2018,363,349,13,1,0,0,0,105,35,18,0,0,0,54,309,
32,ARIZONA,Navajo,2018,363,260,101,2,0,0,0,115,74,44,0,0,353,3,7,
33,ARIZONA,Pima,2018,365,164,190,11,0,0,0,129,84,52,0,0,224,79,62,
34,ARIZONA,Pinal,2018,365,71,243,34,6,3,8,500,108,67,0,0,120,53,192,
35,ARIZONA,Santa Cruz,2018,365,252,111,1,1,0,0,194,63,39,0,0,0,316,49,
36,ARIZONA,Yavapai,2018,365,289,75,1,0,0,0,101,61,44,0,0,362,3,0,
37,ARIZONA,Yuma,2018,365,202,147,15,1,0,0,169,80,49,0,0,178,129,58,
38,ARKANSAS,Arkansas,2018,118,79,39,0,0,0,0,91,59,43,0,0,0,118,0,
39,ARKANSAS,Ashley,2018,121,82,38,1,0,0,0,103,58,39,0,0,0,121,0,
40,ARKANSAS,Clark,2018,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,
41,ARKANSAS,Craighead,2018,90,54,36,0,0,0,0,75,61,46,0,0,0,90,0,
42,ARKANSAS,Crittenden,2018,365,206,156,3,0,0,0,115,61,47,0,2,87,276,0,
43,ARKANSAS,Garland,2018,121,77,44,0,0,0,0,88,59,42,0,0,0,121,0,
44,ARKANSAS,Jackson,2018,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,
45,ARKANSAS,Newton,2018,364,326,38,0,0,0,0,84,51,36,0,0,331,33,0,
