state_name,county_name,population_2018,asthma_crude_prevalence,asthma_crude_prevalence_ci,asthma_age_adjusted_prevalence,asthma_age_adjusted_prevalence_ci,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI
alabama,baldwin,218022,9.5,"( 9.0, 10.2)",9.6,"( 9.1, 10.2)",270,232,38,0,0,0,0,97,54,37
alabama,clay,13275,11.0,"(10.4, 11.7)",11.1,"(10.5, 11.9)",110,86,24,0,0,0,0,68,54,36
alabama,colbert,54762,10.5,"( 9.9, 11.1)",10.5,"( 9.9, 11.2)",277,235,42,0,0,0,0,93,54,37
alabama,dekalb,71385,11.0,"(10.3, 11.8)",11.0,"(10.3, 11.8)",350,302,48,0,0,0,0,84,54,36
alabama,elmore,81887,10.4,"( 9.8, 11.0)",10.4,"( 9.8, 11.0)",222,203,19,0,0,0,0,71,49,33
alabama,etowah,102501,10.6,"(10.0, 11.3)",10.7,"(10.1, 11.3)",324,169,154,0,1,0,0,154,65,48
alabama,houston,104722,10.8,"(10.2, 11.4)",10.9,"(10.3, 11.5)",277,230,47,0,0,0,0,80,54,37
alabama,jefferson,659300,10.0,"( 9.6, 10.5)",10.0,"( 9.6, 10.6)",365,98,263,3,1,0,0,156,76,56
alabama,lawrence,32957,11.1,"(10.5, 11.8)",11.2,"(10.6, 11.8)",118,99,19,0,0,0,0,66,54,31
alabama,madison,366519,9.6,"( 9.1, 10.1)",9.6,"( 9.1, 10.1)",365,194,170,1,0,0,0,115,62,49
alabama,mobile,413757,10.8,"(10.3, 11.4)",10.8,"(10.3, 11.4)",359,218,140,1,0,0,0,105,61,44
alabama,montgomery,225763,10.9,"(10.3, 11.6)",10.9,"(10.3, 11.6)",324,81,243,0,0,0,0,93,70,57
alabama,morgan,119089,10.2,"( 9.7, 10.9)",10.2,"( 9.7, 10.9)",364,251,113,0,0,0,0,100,59,44
alabama,russell,57781,11.3,"(10.7, 11.9)",11.3,"(10.8, 11.9)",364,199,165,0,0,0,0,99,64,48
alabama,shelby,215707,9.3,"( 8.8,  9.8)",9.2,"( 8.7,  9.8)",242,217,24,1,0,0,0,112,51,38
alabama,sumter,12691,12.2,"(11.5, 13.1)",12.2,"(11.5, 13.0)",357,327,30,0,0,0,0,77,48,31
alabama,tuscaloosa,208911,10.4,"( 9.9, 11.0)",10.4,"( 9.8, 10.9)",320,223,96,1,0,0,0,115,60,42
alaska,aleutians east,3515,7.8,"( 7.5,  8.1)",7.8,"( 7.5,  8.1)",120,120,0,0,0,0,0,46,28,13
alaska,anchorage,291538,9.0,"( 8.6,  9.4)",9.0,"( 8.6,  9.4)",365,288,77,0,0,0,0,87,60,30
alaska,bethel,18216,14.6,"(13.6, 15.6)",14.4,"(13.4, 15.4)",202,194,8,0,0,0,0,77,37,19
alaska,denali,2059,9.1,"( 8.7,  9.7)",9.1,"( 8.6,  9.6)",364,361,3,0,0,0,0,58,44,35
alaska,fairbanks north star,98971,8.9,"( 8.5,  9.3)",8.8,"( 8.4,  9.3)",365,215,111,29,10,0,0,158,103,40
alaska,juneau,32113,8.9,"( 8.6,  9.4)",8.9,"( 8.5,  9.3)",352,268,84,0,0,0,0,85,59,31
alaska,kenai peninsula,58533,9.5,"( 9.0, 10.0)",9.5,"( 9.0, 10.0)",120,120,0,0,0,0,0,36,21,10
alaska,matanuska-susitna,107610,10.0,"( 9.5, 10.5)",9.9,"( 9.4, 10.5)",365,308,53,3,1,0,0,151,58,29
arizona,apache,71818,15.3,"(14.5, 16.3)",15.4,"(14.5, 16.4)",358,354,4,0,0,0,0,58,27,13
arizona,cochise,126770,10.0,"( 9.6, 10.5)",10.1,"( 9.6, 10.6)",365,266,99,0,0,0,0,90,63,45
arizona,coconino,142854,10.9,"(10.4, 11.5)",10.8,"(10.3, 11.2)",365,236,126,3,0,0,0,126,77,45
arizona,gila,53889,11.3,"(10.8, 12.0)",11.7,"(11.2, 12.4)",365,220,122,22,1,0,0,171,87,47
arizona,la paz,21098,10.8,"(10.2, 11.5)",11.4,"(10.9, 12.0)",364,257,104,3,0,0,0,105,71,44
arizona,maricopa,4410824,10.0,"( 9.6, 10.6)",10.0,"( 9.5, 10.6)",365,49,252,57,4,3,0,274,115,71
arizona,mohave,209550,10.6,"(10.0, 11.2)",10.8,"(10.2, 11.4)",363,349,13,1,0,0,0,105,35,18
arizona,navajo,110445,12.8,"(12.2, 13.4)",12.9,"(12.3, 13.6)",363,260,101,2,0,0,0,115,74,44
arizona,pima,1039073,10.4,"( 9.9, 10.9)",10.4,"( 9.9, 10.9)",365,164,190,11,0,0,0,129,84,52
arizona,pinal,447138,10.7,"(10.2, 11.2)",10.7,"(10.2, 11.2)",365,71,243,34,6,3,8,500,108,67
arizona,santa cruz,46511,9.5,"( 8.9, 10.3)",9.5,"( 8.9, 10.4)",365,252,111,1,1,0,0,194,63,39
arizona,yavapai,231993,10.4,"( 9.9, 11.1)",10.6,"(10.1, 11.3)",365,289,75,1,0,0,0,101,61,44
arizona,yuma,212128,10.0,"( 9.5, 10.6)",10.1,"( 9.5, 10.7)",365,202,147,15,1,0,0,169,80,49
arkansas,arkansas,17769,10.7,"(10.2, 11.3)",10.8,"(10.3, 11.4)",118,79,39,0,0,0,0,91,59,43
arkansas,ashley,20046,10.7,"(10.2, 11.3)",10.8,"(10.3, 11.4)",121,82,38,1,0,0,0,103,58,39
arkansas,clark,22061,10.3,"( 9.7, 11.0)",10.2,"( 9.7, 10.7)",361,342,19,0,0,0,0,87,46,31
arkansas,craighead,108558,9.7,"( 9.2, 10.3)",9.7,"( 9.2, 10.4)",90,54,36,0,0,0,0,75,61,46
arkansas,crittenden,48342,11.3,"(10.7, 11.9)",11.3,"(10.7, 12.0)",365,206,156,3,0,0,0,115,61,47
arkansas,garland,99154,9.7,"( 9.2, 10.3)",9.9,"( 9.3, 10.5)",121,77,44,0,0,0,0,88,59,42
arkansas,jackson,16811,11.0,"(10.4, 11.6)",11.0,"(10.4, 11.7)",122,82,40,0,0,0,0,74,58,41
arkansas,newton,7805,9.9,"( 9.3, 10.7)",10.1,"( 9.5, 10.9)",364,326,38,0,0,0,0,84,51,36
arkansas,polk,20049,10.3,"( 9.7, 11.0)",10.4,"( 9.8, 11.0)",363,293,70,0,0,0,0,93,57,40
arkansas,pulaski,392680,10.2,"( 9.7, 10.7)",10.3,"( 9.8, 10.8)",365,164,199,2,0,0,0,122,66,52
arkansas,union,39126,10.4,"( 9.8, 10.9)",10.4,"( 9.9, 11.0)",365,189,173,3,0,0,0,122,63,49
arkansas,washington,236961,9.6,"( 9.0, 10.3)",9.6,"( 9.0, 10.2)",365,196,169,0,0,0,0,87,67,48
california,alameda,1666753,8.3,"( 8.0,  8.7)",8.3,"( 8.0,  8.7)",365,77,271,5,9,3,0,248,79,57
california,amador,39383,9.5,"( 9.0, 10.0)",9.5,"( 9.0, 10.0)",364,288,70,6,0,0,0,129,71,40
california,butte,231256,10.1,"( 9.6, 10.7)",10.1,"( 9.6, 10.7)",365,97,228,22,10,3,5,500,104,59
california,calaveras,45602,9.8,"( 9.3, 10.3)",9.9,"( 9.4, 10.4)",364,52,292,14,6,0,0,160,87,58
california,colusa,21627,9.7,"( 9.2, 10.2)",9.7,"( 9.1, 10.3)",365,206,131,10,17,1,0,299,84,46
california,contra costa,1150215,9.0,"( 8.6,  9.5)",9.0,"( 8.6,  9.4)",365,111,236,7,8,3,0,270,74,55
california,del norte,27828,10.5,"(10.0, 11.1)",10.5,"(10.0, 11.1)",180,134,46,0,0,0,0,80,58,33
california,el dorado,190678,9.2,"( 8.7,  9.7)",9.2,"( 8.7,  9.7)",365,221,107,27,9,1,0,203,101,45
california,fresno,994400,10.2,"( 9.6, 10.7)",10.2,"( 9.6, 10.7)",365,61,206,79,19,0,0,185,133,75
california,glenn,28047,10.1,"( 9.6, 10.6)",10.1,"( 9.6, 10.7)",363,242,105,9,6,1,0,255,71,39
california,humboldt,136373,10.5,"( 9.9, 11.0)",10.5,"( 9.9, 11.1)",365,301,58,5,1,0,0,167,58,35
california,imperial,181827,9.3,"( 8.7,  9.9)",9.3,"( 8.7,  9.9)",365,67,248,41,7,2,0,286,108,64
california,inyo,17987,9.7,"( 9.3, 10.3)",9.9,"( 9.4, 10.4)",365,192,136,26,7,2,2,500,101,49
california,kern,896764,10.2,"( 9.7, 10.7)",10.2,"( 9.7, 10.7)",365,45,190,103,27,0,0,190,142,84
california,kings,151366,9.7,"( 9.2, 10.2)",9.7,"( 9.3, 10.2)",365,68,239,49,9,0,0,190,114,70
california,lake,64382,10.5,"( 9.9, 11.1)",10.5,"(10.0, 11.1)",357,344,10,1,1,1,0,233,43,33
california,los angeles,10105518,8.5,"( 8.1,  8.9)",8.4,"( 8.1,  8.9)",365,7,250,89,18,1,0,201,130,78
california,madera,157672,10.1,"( 9.6, 10.7)",10.1,"( 9.6, 10.7)",365,122,208,30,5,0,0,169,100,58
california,marin,259666,8.7,"( 8.2,  9.2)",8.6,"( 8.2,  9.2)",365,235,117,3,9,1,0,243,63,43
california,mariposa,17471,9.8,"( 9.3, 10.4)",10.0,"( 9.5, 10.6)",365,156,169,10,13,15,2,352,108,53
california,mendocino,87606,10.2,"( 9.7, 10.8)",10.3,"( 9.7, 10.8)",364,217,126,13,6,1,1,376,69,46
california,merced,274765,10.0,"( 9.5, 10.5)",10.0,"( 9.4, 10.5)",365,110,214,32,9,0,0,178,101,56
california,mono,14250,9.2,"( 8.7,  9.7)",9.1,"( 8.6,  9.6)",365,252,84,14,10,3,2,500,85,27
california,monterey,435594,9.2,"( 8.7,  9.7)",9.2,"( 8.7,  9.7)",365,258,100,5,2,0,0,157,57,42
california,napa,139417,8.8,"( 8.4,  9.3)",8.8,"( 8.4,  9.3)",364,210,142,4,8,0,0,195,65,46
california,nevada,99696,9.3,"( 8.8,  9.9)",9.4,"( 8.9, 10.0)",363,231,104,19,7,2,0,218,87,45
california,orange,3185968,8.1,"( 7.7,  8.6)",8.1,"( 7.7,  8.6)",365,114,233,15,3,0,0,160,86,54
california,placer,393149,9.0,"( 8.6,  9.5)",9.1,"( 8.6,  9.6)",365,213,127,16,7,2,0,248,84,46
california,plumas,18804,9.7,"( 9.2, 10.2)",9.9,"( 9.4, 10.5)",350,186,154,8,2,0,0,162,85,47
california,riverside,2450758,9.2,"( 8.8,  9.7)",9.2,"( 8.8,  9.7)",365,32,193,102,32,6,0,296,153,87
california,sacramento,1540975,10.0,"( 9.5, 10.4)",9.9,"( 9.5, 10.4)",365,104,226,22,6,5,2,376,100,58
california,san benito,61537,9.1,"( 8.7,  9.7)",9.0,"( 8.6,  9.6)",365,270,84,11,0,0,0,143,63,42
california,san bernardino,2171603,9.6,"( 9.2, 10.1)",9.5,"( 9.1, 10.0)",365,14,197,96,51,7,0,221,164,89
california,san diego,3343364,8.6,"( 8.2,  9.0)",8.6,"( 8.2,  9.0)",365,28,302,35,0,0,0,143,100,67
california,san francisco,883305,7.6,"( 7.3,  8.0)",7.7,"( 7.4,  8.1)",365,222,129,2,10,2,0,252,66,44
california,san joaquin,752660,9.4,"( 9.0,  9.8)",9.3,"( 8.9,  9.8)",365,91,241,20,8,4,1,365,99,59
california,san luis obispo,284010,9.3,"( 8.9,  9.9)",9.3,"( 8.8,  9.8)",365,147,209,9,0,0,0,133,77,53
california,san mateo,769545,7.6,"( 7.3,  8.0)",7.7,"( 7.3,  8.0)",365,236,116,3,10,0,0,197,61,42
california,santa barbara,446527,9.3,"( 8.8,  9.9)",9.2,"( 8.7,  9.8)",365,173,190,2,0,0,0,114,67,51
california,santa clara,1937570,7.5,"( 7.2,  7.9)",7.5,"( 7.2,  7.9)",365,154,194,6,9,2,0,214,72,53
california,santa cruz,274255,9.3,"( 8.8,  9.8)",9.2,"( 8.7,  9.7)",365,273,82,5,5,0,0,177,56,41
california,shasta,180040,10.2,"( 9.7, 10.8)",10.3,"( 9.7, 10.9)",365,272,72,15,5,1,0,206,84,43
california,siskiyou,43724,10.3,"( 9.7, 10.8)",10.4,"( 9.9, 11.0)",365,247,78,16,21,3,0,219,119,42
california,solano,446610,9.6,"( 9.3,  9.9)",9.6,"( 9.2,  9.9)",365,184,166,3,11,1,0,272,69,50
california,sonoma,499942,9.2,"( 8.7,  9.8)",9.2,"( 8.7,  9.8)",365,304,48,3,8,2,0,250,57,39
california,stanislaus,549815,10.0,"( 9.5, 10.5)",10.0,"( 9.5, 10.5)",365,109,209,32,11,4,0,265,108,59
california,sutter,96807,9.6,"( 9.1, 10.1)",9.6,"( 9.2, 10.1)",365,94,236,22,6,6,1,420,100,58
california,tehama,63916,10.5,"(10.0, 11.1)",10.5,"(10.0, 11.1)",365,208,128,16,12,1,0,206,96,48
california,trinity,12535,10.5,"(10.0, 11.2)",10.7,"(10.2, 11.3)",291,117,155,12,5,2,0,209,82,54
california,tulare,465861,10.1,"( 9.5, 10.7)",10.1,"( 9.5, 10.7)",365,50,194,95,26,0,0,180,140,79
california,tuolumne,54539,9.7,"( 9.2, 10.3)",9.8,"( 9.3, 10.4)",348,254,73,20,1,0,0,154,80,43
california,ventura,850967,8.9,"( 8.5,  9.4)",8.9,"( 8.4,  9.4)",365,94,254,16,1,0,0,166,88,57
california,yolo,220408,9.3,"( 8.9,  9.9)",9.2,"( 8.8,  9.7)",365,216,135,5,7,2,0,260,71,45
colorado,adams,511868,9.7,"( 9.2, 10.2)",9.6,"( 9.1, 10.2)",365,138,224,3,0,0,0,130,74,54
colorado,alamosa,16683,10.0,"( 9.5, 10.6)",9.9,"( 9.4, 10.4)",360,348,11,0,0,1,0,235,37,19
colorado,arapahoe,651215,9.5,"( 9.1, 10.0)",9.5,"( 9.0,  9.9)",365,227,123,14,1,0,0,156,87,46
colorado,archuleta,13765,9.3,"( 8.7,  9.9)",9.3,"( 8.8,  9.9)",365,333,32,0,0,0,0,97,50,38
colorado,boulder,326078,8.8,"( 8.4,  9.4)",8.7,"( 8.3,  9.3)",362,198,135,28,1,0,0,159,96,49
colorado,chaffee,20027,9.2,"( 8.7,  9.8)",9.3,"( 8.7,  9.9)",164,67,91,5,1,0,0,161,87,58
colorado,clear creek,9605,9.0,"( 8.5,  9.5)",8.9,"( 8.5,  9.5)",291,145,118,25,3,0,0,164,100,51
colorado,delta,30953,10.0,"( 9.4, 10.7)",10.1,"( 9.5, 10.8)",297,264,33,0,0,0,0,85,52,36
colorado,denver,716492,9.0,"( 8.5,  9.6)",9.0,"( 8.6,  9.6)",365,124,231,10,0,0,0,150,80,54
colorado,douglas,342776,8.7,"( 8.3,  9.2)",8.6,"( 8.2,  9.1)",364,194,143,24,3,0,0,156,97,49
colorado,el paso,713856,9.1,"( 8.7,  9.6)",9.1,"( 8.6,  9.5)",365,217,140,8,0,0,0,119,84,47
colorado,fremont,48021,9.7,"( 9.2, 10.2)",9.7,"( 9.2, 10.2)",20,20,0,0,0,0,0,36,20,15
colorado,garfield,59770,9.3,"( 8.7,  9.9)",9.2,"( 8.7,  9.8)",365,214,135,15,1,0,0,151,87,48
